no,name,address,province,phone_numbers,faxes,emails,website_or_facebook,mailbox,department_name,major
1,សាកលវិទ្យាល័យភូមិន្ទភ្នំពេញ,មហាវិថីសហព័ន្ធរុស្សី សង្កាត់ទឹកល្អក់ ខណ្ឌទួលគោក រាជធានីភ្នំពេញ,រាជធានីភ្នំពេញ,០២៣ ៨៨៣ ៦៤០; ០២៣ ៨៨៤ ១៥៤; ០២៣ ៨៨៥ ៤១៩,០២៣ ៨៨០ ១១៦; ០២៣ ៨៨៤ ១៥៤,secretary@rupp.edu.kh,www.rupp.edu.kh; www.facebook.com/rupp.edu.kh,,១. មហាវិទ្យាល័យ​សង្គមសាស្រ្ត និងមនុស្សសាស្រ្ត,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,ទស្សនវិជ្ជា
,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,សង្គមវិទ្យា
,,,,,,,,,,ចិត្តវិទ្យា
,,,,,,,,,,ទេសចរណ៍
,,,,,,,,,,សង្គមកិច្ចវិទ្យា
,,,,,,,,,,គ្រប់គ្រងពាណិជ្ជកម្មអន្តរជាតិ
,,,,,,,,,,ប្រព័ន្ធផ្សព្វផ្សាយ និងសារគមនាគមន៍
,,,,,,,,,២.មហាវិទ្យាល័យ​វិទ្យាសាស្រ្ត,គណិតវិទ្យា
,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,ព័ត៌មានវិទ្យា
,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,បរិស្ថាន
,,,,,,,,,៣.មហាវិទ្យាល័យ​វិស្វកម្ម,វិស្វកម្មជីវសាស្ត្រ
,,,,,,,,,,វិស្វកម្មបច្ចេកវិទ្យាព័ត៌មាន
,,,,,,,,,,វិស្វកម្មទូរគមនាគមន៍ និង អេឡិចត្រូនិច
,,,,,,,,,៤.មហាវិទ្យាល័យសិក្សាអភិវឌ្ឍន៍,អភិវឌ្ឍសេដ្ឋកិច្ច
,,,,,,,,,,អភិវឌ្ឍសហគមន៍
,,,,,,,,,,គ្រប់គ្រងនិង អភិវឌ្ឍធនធានមនុស្ស
,,,,,,,,,៥.វិទ្យាស្ថានភាសាបរទេស,ភាសាអង់គ្លេស
,,,,,,,,,,ភាសាបារាំង​
,,,,,,,,,,ភាសាជប៉ុន
,,,,,,,,,,ភាសាកូរ៉េ
,,,,,,,,,,ភាសាថៃ
,,,,,,,,,,ភាសាចិន
,,,,,,,,,,សិក្សាអន្តរជាតិ
2,សាកលវិទ្យាល័យភូមិន្ទកសិកម្ម,សង្កាត់ដង្កោ ខណ្ឌដង្កោ រាជធានីភ្នំពេញ ,រាជធានីភ្នំពេញ,០២៣ ២១៩ ៨២៩; ០២៣ ២១៩ ៧៥៣,០២៣​ ២១៩ ៦៩០; ០២៣ ២១៩ ៧៥៣,RUA@forum.org.kh; rua@camnet.com.kh,www.rupp.edu.kh ,2696,១. មហាវិទ្យាល័យវិទ្យាសាស្ត្រកសិកម្ម,ក្សេត្រសាស្ត្រ
,,,,,,,,,២. មហាវិទ្យាល័យវិទ្យាសាស្ត្រសត្វ,វិទ្យាសាស្ត្រសត្វ
,,,,,,,,,៣. មហាវិទ្យាល័យវិជ្ជសាស្ត្រសត្វ,វេជ្ជសាស្ត្រសត្វ
,,,,,,,,,៤. មហាវិទ្យាល័យវិទ្យាសាស្ត្រព្រៃឈើ,វិទ្យាសាស្ត្រព្រៃឈើ
,,,,,,,,,៥. មហាវិទ្យាល័យវិទ្យាសាស្ត្រជលផល,វិទ្យាសាស្ត្រជលផល
,,,,,,,,,៦. មហាវិទ្យាល័យវិស្វកម្មកសិកម្ម,វិស្វកម្មកសិកម្ម
,,,,,,,,,៧. មហាវិទ្យាល័យកសិឧស្សាហកម្ម,កសិឧស្សាហកម្ម
,,,,,,,,,៨. មហាវិទ្យាល័យ រៀបចំដែនដី និង រដ្ឋបាល,ដីធ្លីរៀបចំដែនដី និង រដ្ឋបាលដីធ្លី
,,,,,,,,,៩. មហាវិទ្យាល័យវិទ្យាសាស្ត្រកៅស៊ូ,វិទ្យាសាស្ត្រកៅស៊ូ
,,,,,,,,,១០. មហាវិទ្យាល័យសេដ្ឋកិច្ចកសិកម្ម និង អភិវឌ្ឍជនបទ,សេដ្ឋកិច្ចកសិកម្ម និង អភិវឌ្ឍជនបទ
3,សាកលវិទ្យាល័យភូមិន្ទនិតិសាស្ត្រ និង វិទ្យាសាស្ត្រសេដ្ឋកិច្ច,មហាវិថីព្រះមុនីវង្ស សង្កាត់ទន្លេបាសាក់ ខណ្ឌចំការមន រាជធានីភ្នំពេញ,រាជធានីភ្នំពេញ,០២៣​ ៣៦២ ៦០៧;  ០២៣ ២១៤ ៩៥៣,០២៣ ២១៤ ៩៥៣,rector@rule.edu.kh,www.rule.edu.kh,,១.មហាវិទ្យាល័យនិតិសាស្ត្រ,និតិសាស្ត្រ
,,,,,,,,,២.មហាវិទ្យាល័យសេដ្ឋកិច្ចព័ត៌មានវិទ្យា,សេដ្ឋកិច្ចព័ត៌មានវិទ្យា
,,,,,,,,,៣. មហាវិទ្យាល័យរដ្ឋបាលសាធារណៈ,រដ្ឋបាលសាធារណៈ
,,,,,,,,,,ទំនាក់ទំនងអន្តរជាតិ
,,,,,,,,,៤.មហាវិទ្យាល័យ វិទ្យាសាស្ត្រ សេដ្ឋកិច្ច និងគ្រប់គ្រង,គណនេយ្យ
,,,,,,,,,,ធនាគារនិងហិរញ្ញវត្ថុ
,,,,,,,,,,គ្រប់គ្រងធុរកិច្ច
,,,,,,,,,,សេដ្ឋកិច្ចអភិវឌ្ឍន៍
,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ និង បដិសណ្ឋារកិច្ច
,,,,,,,,,,សេដ្ឋកិច្ច និងគ្រប់គ្រង
4,សាកលវិទ្យាល័យជាតិគ្រប់គ្រង,ផ្លូវលេខ ៩៦ សង្កាត់វត្តភ្នំ ខណ្ឌដូនពេញ រាជធានីភ្នំពេញ,រាជធានីភ្នំពេញ,០២៣ ៤២៨ ១២០; ០១២ ៨៨៩ ៤៩៥ ,០២៣ ៤២៧ ១០៥,sengbunthoeun@num.edu.kh,www.num.edu.kh https://facebook.com/num.edu.kh,,១.មហាវិទ្យាល័យគ្រប់គ្រង,គ្រប់គ្រង
,,,,,,,,,,ម៉ាឃីធីង
,,,,,,,,,,សហគ្រិនភាព
,,,,,,,,,២.មហាវិទ្យាល័យទេសចរណ៍ និង បដិសណ្ឋារកិច្ច,ទេសចរណ៍
,,,,,,,,,,បដិសណ្ឋារកិច្ច
,,,,,,,,,,គ្រប់គ្រងព្រឹត្តិការណ៍ទេសចរណ៍
,,,,,,,,,,ភាសាអង់គ្លេស
,,,,,,,,,៣.មហាវិទ្យាល័យសេដ្ឋកិច្ច,សេដ្ឋកិច្ចពាណិជ្ជកម្ម
,,,,,,,,,,សេដ្ឋកិច្ចអភិវឌ្ឍន៍
,,,,,,,,,៤.មហាវិទ្យាល័យនីតិសាស្ត្រ,នីតិសាធារណៈ
,,,,,,,,,,នីតិជន
,,,,,,,,,៥.មហាវិទ្យាល័យព័ត៌មានវិទ្យា,ព័ត៌មានវិទ្យា
,,,,,,,,,,ព័ត៌មានវិទ្យាពាណិជ្ជកម្ម
,,,,,,,,,៦. កម្មវិធីអន្តរជាតិ,ពាណិជ្ជកម្មអន្តរជាតិ
,,,,,,,,,,បច្ចេកវិទ្យាកែច្នៃ
,,,,,,,,,៧.មហាវិទ្យាល័យ គណនេយ្យ និង ហិរញ្ញវត្ថុ,គណនេយ្យ
,,,,,,,,,,គណនេយ្យ និង ពន្ឋដារ
,,,,,,,,,,គណនេយ្យ និង សេវនកម្ម
,,,,,,,,,,ហិរញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,ហិរញ្ញវត្ថុ និងទីផ្សារមូលបត្រ
,,,,,,,,,,ហិរញ្ញវត្ថុ និង ធានារ៉ាប់រង
5,សាកលវិទ្យាល័យវិទ្យាសាស្ត្រសុខាភីបាល,មហាវិថីព្រះមុនីវង្ស សង្កាត់ស្រះចក ខណ្ឌដូនពេញ រាជធានីភ្នំពេញ,រាជធានីភ្នំពេញ,០២៣ ៤៣០ ៥៥៦; ០២៣ ៤៣០ ៥៩១,,uhsc@univ-sante.edu.kh,www.univ-sante.edu.kh,,១.មហាវិជ្ជសាស្ត្រ,វេជ្ជសាស្ត្រ
,,,,,,,,,២.មហាវិទ្យាល័យ ឱសថសាស្ត្រ,ឱសថសាស្ត្រ
,,,,,,,,,៣.មហាវិទ្យាល័យ ទន្តសាស្ត្រ,ទន្តសាស្ត្រ
,,,,,,,,,៤.មហាវិទ្យាល័យបច្ចេកទេសថែទាំវេជ្ជសាស្ត្រ,គិលានុបដ្ឋាក
,,,,,,,,,,ឆ្មប
,,,,,,,,,,បច្ចេកទេសមន្ទីរពិសោធន៍
,,,,,,,,,,ព្យាបាលដោយចលនា
,,,,,,,,,,បច្ចេកទេសវិទ្យុសាស្ត្រ
6,សាកលវិទ្យាល័ភូមិន្ទវិចិត្រសិល្បះ,អគារលេខ ៧២ កាច់ជ្រុងផ្លូវព្រះអង្គយុគន្ឋរ(លេខ១៩) និងផ្លូវមគ្គវ័ន សង្កាត់ជ័យជំនះ ខណ្ឌដូនពេញ រាជធានី,រាជធានីភ្នំពេញ,០២៣ ៩៨៦ ៤១៧ ,០២៣​ ៩៨៦៤១៧,rufa@camnet.com.kh,www.rufa.edu.kh,,១.មហាវិទ្យាល័យបុរាណវិទ្យា,បុរាណវិទ្យា
,,,,,,,,,,មគ្គុទេសក៍បេតិកភណ្ឌវប្បធម៌
,,,,,,,,,២.មហាវិទ្យាល័យ     ស្ថាបត្យកម្ម និង នគរូបនីយកម្មវិទ្យា,ស្ថាបត្យកម្ម និង នគរូបនីយកម្មវិទ្យា
,,,,,,,,,៣.មហាវិទ្យាល័យ  តូរ្យតន្ត្រី,និពន្ឋតន្ត្រី
,,,,,,,,,,ចម្រៀង(បុរាណ និង ជាពូក)
,,,,,,,,,,ឧបករណ៍តន្ត្រី (បុរាណ និងសម័យ)
,,,,,,,,,,បញ្ញាវង់ភ្លេង
,,,,,,,,,,តន្ត្រីវិទ្យា
,,,,,,,,,៤.មហាវិទ្យាល័យសិល្បះសូនរូប,វិចិត្រកម្ម
,,,,,,,,,,ចម្លាក់ទំនើប
,,,,,,,,,,គំនូរសារគមនាគមន៍
,,,,,,,,,,តុបតែងលម្អនៃស្ថាបត្យកម្ម
,,,,,,,,,៥.មហាវិទ្យាល័យសិល្បះនាដសាស្ត្រ,ដឹកនាំរឿង ល្ខោនក្បាច់បុរាណ
,,,,,,,,,,ដឹកនាំរឿង ល្ខោនយីកេ
,,,,,,,,,,ដឹកនាំរឿង ល្ខោនមហោរី
,,,,,,,,,,ដឹកនាំរឿង ល្ខោនកំណាព្យ
,,,,,,,,,,ដឹកនាំរឿង ល្ខោនស្រមោលស្បែកធំ
,,,,,,,,,,ដឹកនាំរឿង ល្ខោននិយាយ
,,,,,,,,,,ដឹកនាំរឿង ល្ខោនបាសាក់
,,,,,,,,,,ដឹកនាំរឿង ល្ខោនខោល
,,,,,,,,,,ដឹកនាំរឿង ល្ខោនអាប៉េ
,,,,,,,,,,ដឹកនាំរឿង របាំប្រពៃណី និង សៀក
7,ពុទ្វិកសាកលវិទ្យាល័យព្រះសីហនុរាជ,ផ្លូវលេខ ៣៩៣​ តិរវិថីព្រះស៊ីសុត្ថិ​ សង្កាត់ជ័យជំនះ ខណ្ឌដូនពេញ រាជធានីភ្នំពេញ,រាជធានីភ្នំពេញ,០១២ ៨៤៤ ៩២១,,sbu@yahoo.com,www.sbu.edu.kh,,១.មហាវិទ្យាល័យ ទស្សនវិជ្ជា និង សាសនា,ទស្សនវិជ្ជាពុទ្ធសាសសនា
,,,,,,,,,,សង្គមវិទ្យា
,,,,,,,,,២.មហាវិទ្យាល័យវិទ្យាសាស្ដ្រអប់រំ​ នឹងព័ត៌មាន,គ្រប់គ្រងទូរទៅ
,,,,,,,,,,រដ្ឋបាលអប់រំ
,,,,,,,,,៣.មហាវិទ្យាល័យអក្សរសាស្ដ្រ,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,បរិស្ថានវិទ្យា
,,,,,,,,,៤.មហាវិទ្យាបាលី-សំស្ក្រឺក​ នឹងភាសាបរទេស,ភាសាបាលី
,,,,,,,,,,អក្សរសាស្ដ្រអង់គ្លេស
,,,,,,,,,.មជ្ឍមណ្ឌលគរុកោល្យ,ភាសាបាលី
,,,,,,,,,,ទស្សនវិជ្ជា
8,សាកលវិទ្យាល័យបាត់ដំបង,ជាប់ផ្លូវជាតិលេខ៥ ភូមិអូរខ្ជាយ សង្គាត់ព្រែកស្ដេច ក្រុងបាត់ដំបង ខេត្តបាត់ដំបង,ខេត្តបាត់ដំបង,០៥៣ ៩៥២​ ៩០៥; ០៥៣ ០៥២ ៩២០,,info@ubb.edu.kh,www.ubb.edu.kh,,១.មហាវិទ្យាល័យយគ្រប់គ្រងពាណិជ្ជកម្ម,គ្រប់គ្រង
,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,ធនាគារ នឹងហិរញ្ញវត្ថុ
,,,,,,,,,,ទេសចរណ៍
,,,,,,,,,២.មហាវិទ្យាល័យសង្គមសាស្ត្រ នឹងអភិវឌ្ឍន៏,វិទ្យាសាស្ដ្រសេដ្ខកិច្ច
,,,,,,,,,,នីតិសាស្ត្រ
,,,,,,,,,,កសិកពាណិជ្ជកម្ម
,,,,,,,,,,អភិវឌ្ឍន៏ជនបទ
,,,,,,,,,៣.មហាវិទ្យាល័យកសិកម្ម នឹងកែច្នៃអាហារ,បសុពេទ្យ​ នឹងវិទ្យាសាស្ត្រសព្វ
,,,,,,,,,,ក្សេត្រសាស្ត្រ
